,Post ID,Post Category,Post Title,Post Time,Post Link
0,the_block:a75b4c35b094b:0,The Block,Bitcoin ETF battle heats up as BlackRock closes in on Grayscale,"Apr 11, 2024, 00:48 GMT+5",/news/the_block:a75b4c35b094b:0-bitcoin-etf-battle-heats-up-as-blackrock-closes-in-on-grayscale/
1,newsbtc:569223bcd094b:0,NewsBTC,Is The Bull Run Nearing its End? Marathon CEO Asserts Bitcoin ‘Halving’ Rally Already Priced In,"Apr 11, 2024, 00:30 GMT+5",/news/newsbtc:569223bcd094b:0-is-the-bull-run-nearing-its-end-marathon-ceo-asserts-bitcoin-halving-rally-already-priced-in/
2,cointelegraph:88f16fd48094b:0,Cointelegraph," Price analysis 4/10: BTC, ETH, BNB, SOL, XRP, DOGE, TON, ADA, AVAX, SHIB  ","Apr 11, 2024, 00:30 GMT+5",/news/cointelegraph:88f16fd48094b:0-price-analysis-4-10-btc-eth-bnb-sol-xrp-doge-ton-ada-avax-shib/
3,the_block:6da8919bc094b:0,The Block,"Younger generations more invested in crypto than stocks, survey finds","Apr 11, 2024, 00:28 GMT+5",/news/the_block:6da8919bc094b:0-younger-generations-more-invested-in-crypto-than-stocks-survey-finds/
4,DJN_SN20240410010901:0,MarketWatch,Title Not Available,"Apr 11, 2024, 00:25 GMT+5",/news/DJN_SN20240410010901:0/
5,coindar:7a449fde8094b:0,Coindar,Injective Protocol to Hold Token Burn on April 10th,"Apr 11, 2024, 00:21 GMT+5",/news/coindar:7a449fde8094b:0-injective-protocol-to-hold-token-burn-on-april-10th/
6,coindar:fde0d5803094b:0,Coindar,ARPA Partners With Cradles,"Apr 11, 2024, 00:19 GMT+5",/news/coindar:fde0d5803094b:0-arpa-partners-with-cradles/
7,the_block:e2d9db22e094b:0,The Block,Crypto industry reacts to SEC serving Uniswap with Wells Notice: ‘The war on DeFi has begun’,"Apr 11, 2024, 00:17 GMT+5",/news/the_block:e2d9db22e094b:0-crypto-industry-reacts-to-sec-serving-uniswap-with-wells-notice-the-war-on-defi-has-begun/
8,cointelegraph:5d4880908094b:0,Cointelegraph,SEC issues Wells notice to DeFi protocol Uniswap,"Apr 11, 2024, 00:09 GMT+5",/news/cointelegraph:5d4880908094b:0-sec-issues-wells-notice-to-defi-protocol-uniswap/
9,coinedition:72d30ff30094b:0,Coin Edition,EigenLayer Mainnet Node; Google Cloud Expands Blockchain Presence,"Apr 11, 2024, 00:03 GMT+5",/news/coinedition:72d30ff30094b:0-eigenlayer-mainnet-node-google-cloud-expands-blockchain-presence/
10,cointelegraph:fe73741cf094b:0,Cointelegraph," Binance drops Bitcoin Ordinals, medical tourism in the metaverse: Nifty Newsletter ","Apr 11, 2024, 00:00 GMT+5",/news/cointelegraph:fe73741cf094b:0-binance-drops-bitcoin-ordinals-medical-tourism-in-the-metaverse-nifty-newsletter/
11,coindesk:540d92472094b:0,CoinDesk,DeFi Exchange Uniswap Receives Enforcement Notice from the SEC,"Apr 10, 2024, 23:57 GMT+5",/news/coindesk:540d92472094b:0-defi-exchange-uniswap-receives-enforcement-notice-from-the-sec/
12,the_block:427377e02094b:0,The Block,"Uniswap receives SEC lawsuit warning, CLO describes it as ‘another abuse of power’","Apr 10, 2024, 23:50 GMT+5",/news/the_block:427377e02094b:0-uniswap-receives-sec-lawsuit-warning-clo-describes-it-as-another-abuse-of-power/
13,coindesk:ada256600094b:0,CoinDesk,NEAR to Hire Artificial-Intelligence Engineers as Part of AI Roadmap,"Apr 10, 2024, 23:50 GMT+5",/news/coindesk:ada256600094b:0-near-to-hire-artificial-intelligence-engineers-as-part-of-ai-roadmap/
14,u_today:406190d42094b:0,U.Today,US-Based Wealth Management Firm Gets Into Bitcoin,"Apr 10, 2024, 23:49 GMT+5",/news/u_today:406190d42094b:0-us-based-wealth-management-firm-gets-into-bitcoin/
15,cryptobriefing:7c06e874c094b:0,Crypto Briefing,Mysten Labs teams up with Playtron to launch new gaming handheld for blockchain and PC titles,"Apr 10, 2024, 23:49 GMT+5",/news/cryptobriefing:7c06e874c094b:0-mysten-labs-teams-up-with-playtron-to-launch-new-gaming-handheld-for-blockchain-and-pc-titles/
16,beincrypto:edb33ad47094b:0,Beincrypto,"Uniswap’s UNI Tumbles After SEC Issues Wells Notice, Legal Battle Looms","Apr 10, 2024, 23:47 GMT+5",/news/beincrypto:edb33ad47094b:0-uniswap-s-uni-tumbles-after-sec-issues-wells-notice-legal-battle-looms/
17,coindar:97fddba3a094b:0,Coindar,Radiant Capital to Hold AMA on X on April 16th,"Apr 10, 2024, 23:43 GMT+5",/news/coindar:97fddba3a094b:0-radiant-capital-to-hold-ama-on-x-on-april-16th/
18,beincrypto:9452f5d03094b:0,Beincrypto,Dogecoin (DOGE) at Risk: Factors Leading to a Potential Correction,"Apr 10, 2024, 23:30 GMT+5",/news/beincrypto:9452f5d03094b:0-dogecoin-doge-at-risk-factors-leading-to-a-potential-correction/
19,u_today:170e9f297094b:0,U.Today,SEC to Sue Uniswap,"Apr 10, 2024, 23:27 GMT+5",/news/u_today:170e9f297094b:0-sec-to-sue-uniswap/
20,cointelegraph:e1d753ea5094b:0,Cointelegraph,Ethena announces integration with exchange wallets,"Apr 10, 2024, 23:24 GMT+5",/news/cointelegraph:e1d753ea5094b:0-ethena-announces-integration-with-exchange-wallets/
21,coindar:50a5f8d67094b:0,Coindar,Litentry to Host Community Call on April 15th,"Apr 10, 2024, 23:19 GMT+5",/news/coindar:50a5f8d67094b:0-litentry-to-host-community-call-on-april-15th/
22,cointelegraph:663a77401094b:0,Cointelegraph, Bitcoin whales 'buy the dip' post-CPI as BTC price gains 3.6% ,"Apr 10, 2024, 23:16 GMT+5",/news/cointelegraph:663a77401094b:0-bitcoin-whales-buy-the-dip-post-cpi-as-btc-price-gains-3-6/
23,cryptobriefing:c459d8169094b:0,Crypto Briefing,"Chainlink Functions goes live on Base L2, enabling on-demand API access","Apr 10, 2024, 23:15 GMT+5",/news/cryptobriefing:c459d8169094b:0-chainlink-functions-goes-live-on-base-l2-enabling-on-demand-api-access/
24,coindesk:4b91e89f4094b:0,CoinDesk,"The Protocol: How to Engineer Harder Money, or Just Make Your Own","Apr 10, 2024, 23:10 GMT+5",/news/coindesk:4b91e89f4094b:0-the-protocol-how-to-engineer-harder-money-or-just-make-your-own/
25,newsbtc:8294e0251094b:0,NewsBTC,"Crypto Experts Predict Massive Price Surge For XRP Price, Is $20 Possible?","Apr 10, 2024, 23:00 GMT+5",/news/newsbtc:8294e0251094b:0-crypto-experts-predict-massive-price-surge-for-xrp-price-is-20-possible/
26,coindesk:62b74d626094b:0,CoinDesk,"EigenLayer, Crypto's Biggest Project Launch This Year, Is Still Missing Crucial Functionality","Apr 10, 2024, 22:59 GMT+5",/news/coindesk:62b74d626094b:0-eigenlayer-crypto-s-biggest-project-launch-this-year-is-still-missing-crucial-functionality/
27,coinedition:e2a686394094b:0,Coin Edition,Terrorists Are Turning To Crypto To Circumvent Sanctions: Treasury Department,"Apr 10, 2024, 22:57 GMT+5",/news/coinedition:e2a686394094b:0-terrorists-are-turning-to-crypto-to-circumvent-sanctions-treasury-department/
28,cointelegraph:e5b751c2e094b:0,Cointelegraph,SushiSwap DAO backs transition to ‘Labs model’ in preliminary vote,"Apr 10, 2024, 22:45 GMT+5",/news/cointelegraph:e5b751c2e094b:0-sushiswap-dao-backs-transition-to-labs-model-in-preliminary-vote/
29,cointelegraph:821a6e371094b:0,Cointelegraph, Firm behind world’s fastest Bitcoin miner raises another $80M ,"Apr 10, 2024, 22:32 GMT+5",/news/cointelegraph:821a6e371094b:0-firm-behind-world-s-fastest-bitcoin-miner-raises-another-80m/
30,cointelegraph:664f5148e094b:0,Cointelegraph, Bitcoin price weakens after hot CPI print raises doubt on Fed rate cuts  ,"Apr 10, 2024, 22:24 GMT+5",/news/cointelegraph:664f5148e094b:0-bitcoin-price-weakens-after-hot-cpi-print-raises-doubt-on-fed-rate-cuts/
31,benzinga:70185d088094b:0,Benzinga,Behind The Numbers: Chevron CEO's Pay Soars To $26.5M,"Apr 10, 2024, 22:23 GMT+5",/news/benzinga:70185d088094b:0-behind-the-numbers-chevron-ceo-s-pay-soars-to-26-5m/
32,cryptobriefing:c7d952150094b:0,Crypto Briefing,Liquid staking ecosystem longevity relies on token liquidity: Kairos Research,"Apr 10, 2024, 22:21 GMT+5",/news/cryptobriefing:c7d952150094b:0-liquid-staking-ecosystem-longevity-relies-on-token-liquidity-kairos-research/
33,cointelegraph:e0770ecd3094b:0,Cointelegraph,Sentencing of former FTX exec Ryan Salame moved to May 28 ,"Apr 10, 2024, 22:14 GMT+5",/news/cointelegraph:e0770ecd3094b:0-sentencing-of-former-ftx-exec-ryan-salame-moved-to-may-28/
34,newsbtc:214bcb012094b:0,NewsBTC,Dogecoin Slows Down: What Needs To Happen For New DOGE Highs?,"Apr 10, 2024, 22:00 GMT+5",/news/newsbtc:214bcb012094b:0-dogecoin-slows-down-what-needs-to-happen-for-new-doge-highs/
35,cryptobriefing:d1ed31c41094b:0,Crypto Briefing,Stablecoins are ‘fundamental’ for the US economy — Cantor Fitzgerald CEO,"Apr 10, 2024, 21:52 GMT+5",/news/cryptobriefing:d1ed31c41094b:0-stablecoins-are-fundamental-for-the-us-economy-cantor-fitzgerald-ceo/
36,coinedition:5edc3e529094b:0,Coin Edition,ACE Exchange Faces Turmoil as Founder David Pan’s Troubles Deepen,"Apr 10, 2024, 21:47 GMT+5",/news/coinedition:5edc3e529094b:0-ace-exchange-faces-turmoil-as-founder-david-pan-s-troubles-deepen/
37,cointelegraph:12c7dd88a094b:0,Cointelegraph," 3 reasons why DOGE, WIF and other memecoins are crashing ","Apr 10, 2024, 21:46 GMT+5",/news/cointelegraph:12c7dd88a094b:0-3-reasons-why-doge-wif-and-other-memecoins-are-crashing/
38,the_block:622971c7c094b:0,The Block,"Bitcoin scaling developer Alpen Labs comes out of stealth, reveals $10.6 million in past seed funding","Apr 10, 2024, 21:41 GMT+5",/news/the_block:622971c7c094b:0-bitcoin-scaling-developer-alpen-labs-comes-out-of-stealth-reveals-10-6-million-in-past-seed-funding/
39,cointelegraph:f43952bc7094b:0,Cointelegraph,Move-to-earn protocol StepN announces $30M airdrop for users,"Apr 10, 2024, 21:30 GMT+5",/news/cointelegraph:f43952bc7094b:0-move-to-earn-protocol-stepn-announces-30m-airdrop-for-users/
40,beincrypto:b4505e7bb094b:0,Beincrypto,Fantom (FTM) Price Accumulation: Catalyst for a 55% Rally?,"Apr 10, 2024, 21:30 GMT+5",/news/beincrypto:b4505e7bb094b:0-fantom-ftm-price-accumulation-catalyst-for-a-55-rally/
41,u_today:9c48fdc5d094b:0,U.Today,"Bitcoin on Track for All-Time High If It Holds Above This Level, Elon Musk Issues Stunning AI Prediction for Next Year, Here's Why SHIB Might Rally on April 17: Crypto News Digest by U.Today","Apr 10, 2024, 21:29 GMT+5",/news/u_today:9c48fdc5d094b:0-bitcoin-on-track-for-all-time-high-if-it-holds-above-this-level-elon-musk-issues-stunning-ai-prediction-for-next-year-here-s-why-shib-might-rally-on-april-17-crypto-news-digest-by-u-today/
42,u_today:e03bdf8fe094b:0,U.Today,Cardano (ADA) Price Prediction for April 10,"Apr 10, 2024, 21:17 GMT+5",/news/u_today:e03bdf8fe094b:0-cardano-ada-price-prediction-for-april-10/
43,the_block:8553c3ec6094b:0,The Block,"SocialFi app Tomo raises $3.5 million in seed funding, plans points revamp","Apr 10, 2024, 21:05 GMT+5",/news/the_block:8553c3ec6094b:0-socialfi-app-tomo-raises-3-5-million-in-seed-funding-plans-points-revamp/
44,coindesk:db7441dba094b:0,CoinDesk,The Rise of Crypto Options and Structured Products,"Apr 10, 2024, 21:05 GMT+5",/news/coindesk:db7441dba094b:0-the-rise-of-crypto-options-and-structured-products/
45,newsbtc:a99353618094b:0,NewsBTC,XRP Heading To $100-$500? Analyst Provides Speculated Timeframes,"Apr 10, 2024, 21:00 GMT+5",/news/newsbtc:a99353618094b:0-xrp-heading-to-100-500-analyst-provides-speculated-timeframes/
46,coindesk:b35800c58094b:0,CoinDesk,BTC Halving: Sell-The-News or Buy-The-Alt-Rotation,"Apr 10, 2024, 21:00 GMT+5",/news/coindesk:b35800c58094b:0-btc-halving-sell-the-news-or-buy-the-alt-rotation/
47,coinedition:c71c1fc11094b:0,Coin Edition,Breaking: Hong Kong Set to Launch Spot Bitcoin ETFs on April,"Apr 10, 2024, 20:59 GMT+5",/news/coinedition:c71c1fc11094b:0-breaking-hong-kong-set-to-launch-spot-bitcoin-etfs-on-april/
48,coindesk:853388142094b:0,CoinDesk,"Binance 'Working Collaboratively' With Nigerian Government to Free Detained Executive, Compliance Chief Says","Apr 10, 2024, 20:55 GMT+5",/news/coindesk:853388142094b:0-binance-working-collaboratively-with-nigerian-government-to-free-detained-executive-compliance-chief-says/
49,the_block:a3d66a6e5094b:0,The Block,Crypto fund Brevan Howard Digital rises 34.5% to $1.7 billion in Q1: report,"Apr 10, 2024, 20:52 GMT+5",/news/the_block:a3d66a6e5094b:0-crypto-fund-brevan-howard-digital-rises-34-5-to-1-7-billion-in-q1-report/
50,cointelegraph:a208eec55094b:0,Cointelegraph,How to buy and sell NFTs on Uniswap,"Apr 10, 2024, 20:45 GMT+5",/news/cointelegraph:a208eec55094b:0-how-to-buy-and-sell-nfts-on-uniswap/
51,coindesk:3ade82adf094b:0,CoinDesk,Crypto Derivatives Exchange Stream Trading Raises $1.5M in Seed Funding,"Apr 10, 2024, 20:44 GMT+5",/news/coindesk:3ade82adf094b:0-crypto-derivatives-exchange-stream-trading-raises-1-5m-in-seed-funding/
52,coindesk:1ac530feb094b:0,CoinDesk,"Half of Solana Pre-Sales Are Scams, Blockaid Says","Apr 10, 2024, 20:42 GMT+5",/news/coindesk:1ac530feb094b:0-half-of-solana-pre-sales-are-scams-blockaid-says/
53,u_today:bb468f2e7094b:0,U.Today,"Epic Bitcoin Whale Initiates Massive Dump, But There's a Catch","Apr 10, 2024, 20:38 GMT+5",/news/u_today:bb468f2e7094b:0-epic-bitcoin-whale-initiates-massive-dump-but-there-s-a-catch/
54,benzinga:ed7dc9ec0094b:0,Benzinga,"AT&T, Comcast, Verizon Challenge: Subsidy Slash Threatens Internet for 23M Households","Apr 10, 2024, 20:31 GMT+5",/news/benzinga:ed7dc9ec0094b:0-at-t-comcast-verizon-challenge-subsidy-slash-threatens-internet-for-23m-households/
55,beincrypto:9bdc3a7ac094b:0,Beincrypto,"VanEck CEO Anticipates Rejection for Spot Ethereum ETF, Despite Its Early Filing","Apr 10, 2024, 20:30 GMT+5",/news/beincrypto:9bdc3a7ac094b:0-vaneck-ceo-anticipates-rejection-for-spot-ethereum-etf-despite-its-early-filing/
56,u_today:725b0bf6d094b:0,U.Today,XRP Price Prediction for April 10,"Apr 10, 2024, 20:25 GMT+5",/news/u_today:725b0bf6d094b:0-xrp-price-prediction-for-april-10/
57,coindesk:a2b9c4c53094b:0,CoinDesk,Ripple-Owned Metaco Sees Most of Execs and Marketing Teams Depart: Source,"Apr 10, 2024, 20:23 GMT+5",/news/coindesk:a2b9c4c53094b:0-ripple-owned-metaco-sees-most-of-execs-and-marketing-teams-depart-source/
58,coindesk:a6d523868094b:0,CoinDesk,"EU's MiCA Rules Have Had Little Influence on the European Crypto Market, Regulator Says","Apr 10, 2024, 20:22 GMT+5",/news/coindesk:a6d523868094b:0-eu-s-mica-rules-have-had-little-influence-on-the-european-crypto-market-regulator-says/
59,coindesk:17cff196e094b:0,CoinDesk,'What Are We Waiting for'? SEC Commissioner Hester Peirce Discusses Moving Crypto Regulation Foward,"Apr 10, 2024, 20:21 GMT+5",/news/coindesk:17cff196e094b:0-what-are-we-waiting-for-sec-commissioner-hester-peirce-discusses-moving-crypto-regulation-foward/
